y_plus,uu_yhat,vv_yhat,ww_yhat,uu_y,vv_y,ww_y
4950,0.587333333,0.587333333,0.587333333,0.795387041,0.4693191,0.4883058
733,0.766666667,0.766666667,0.766666667,1.190782399,0.532974741,0.614852564
674,2.513333333,2.513333333,2.513333333,4.518884133,1.207227029,1.84677441
320,2.26,2.26,2.26,3.959743973,1.150081738,1.68189902
394,0.726666667,0.726666667,0.726666667,1.095082359,0.522920439,0.607216803
206,3.026666667,3.026666664,3.026666665,5.464733405,1.267772152,2.341665473
156,2.106666667,2.106666667,2.106666667,3.516227812,1.122100065,1.690846951
188,2.5,2.5,2.5,4.385021889,1.200468338,1.927228806
873,0.571333333,0.571333333,0.571333333,0.852032452,0.441682953,0.462140866
2.52,0.470485998,0.465140572,0.462959904,1.159941744,-0.004586394,0.365622075
3770,0.846666667,0.846666667,0.846666667,1.302271464,0.5910585,0.665867716
802,2.406666667,2.406666667,2.406666667,4.284008157,1.187541449,1.76703646
2950,1.166666667,1.166666667,1.166666667,1.860373024,0.721751208,0.910726987
1220,1.06,1.06,1.06,1.702102296,0.655951936,0.808197452
3480,0.953333333,0.953333333,0.953333333,1.485869514,0.632959171,0.74258756
16.4,3.613333265,3.613332779,3.613332711,8.552620516,0.408877972,1.900173703
554,1.893333333,1.893333333,1.893333333,3.260911792,1.024309782,1.380238311
1680,0.661333333,0.661333333,0.661333333,1.014529107,0.487442363,0.515541739
119,1.793333333,1.793333333,1.793333333,2.871815402,1.0280799,1.510073795
105,1.866666667,1.866666667,1.866666667,3.017929316,1.059469196,1.572650278
1250,1.026666667,1.026666667,1.026666667,1.647569339,0.642817129,0.782535545
1150,1.14,1.14,1.14,1.834604669,0.687763803,0.868513948
433,0.620666667,0.620666667,0.620666667,0.924547202,0.475173029,0.524883745
5040,0.582666667,0.582666667,0.582666667,0.783977217,0.463246429,0.483632854
183,3.053333334,3.05333333,3.053333331,5.511548935,1.270887664,2.391075432
520,2.666666667,2.666666666,2.666666666,4.819789325,1.228233088,1.94924533
2850,1.213333333,1.213333333,1.213333333,1.938588796,0.740275112,0.943924419
4070,0.753333333,0.753333333,0.753333333,1.126462184,0.552687773,0.600237919
763,0.72,0.72,0.72,1.10758215,0.511343612,0.57916191
1610,0.706666667,0.706666667,0.706666667,1.098650468,0.508545594,0.546065369
2410,1.413333333,1.413333333,1.413333333,2.313025948,0.828458319,1.0931232
1760,0.616666667,0.616666667,0.616666667,0.927405505,0.465319782,0.486819721
1170,2.126666667,2.126666667,2.126666667,3.685738874,1.119689124,1.565261523
31.4,3.366666664,3.36666665,3.366666647,6.903063398,0.784954079,2.388770183
5090,0.580666667,0.580666667,0.580666667,0.779463631,0.460069466,0.481579988
346,2.853333334,2.853333333,2.853333333,5.178049208,1.249542071,2.104216833
1220,2.086666667,2.086666667,2.086666667,3.613268918,1.10918118,1.540992038
4980,0.585333333,0.585333333,0.585333333,0.791114428,0.467244285,0.486608468
8.6,2.600002718,2.599995175,2.599997892,6.559038641,0.162694478,1.113283205
0.252,0.005841919,0.002017027,0.002658946,0.000391318,-0.041427401,-0.012562901
13,3.706674665,3.706588653,3.706596651,8.998406698,0.290824745,1.864263467
570,1.086666667,1.086666667,1.086666667,1.73991478,0.670223937,0.837053608
1100,1.186666667,1.186666667,1.186666667,1.933756769,0.711484263,0.911557041
82.8,2.8,2.799999999,2.799999999,4.897801892,1.244752619,2.282478284
1580,0.726666667,0.726666667,0.726666667,1.136956253,0.518088685,0.560687459
2000,1.62,1.62,1.62,2.706357887,0.92042404,1.236740382
1.13,0.114417377,0.096122298,0.099206341,0.259945374,-0.035779311,0.125765374
0.0387,0.000277351,-0.000381115,-0.000229097,-0.037220184,-0.046267263,-0.042460473
1590,1.853333333,1.853333333,1.853333333,3.14254649,1.02183906,1.384786572
830,2.38,2.38,2.38,4.234471672,1.182965859,1.750251197
3170,1.073333333,1.073333333,1.073333333,1.697272475,0.682977294,0.838620066
48.4,2.386666667,2.386666667,2.386666667,4.316048649,0.947042208,1.846073865
979,0.507333333,0.507333333,0.507333333,0.679396344,0.388907757,0.369958768
174,2.533333333,2.533333333,2.533333333,4.431441426,1.204942441,1.956428619
1840,0.584,0.584,0.584,0.849898005,0.445325626,0.464670645
2030,1.606666667,1.606666667,1.606666667,2.676124301,0.91337443,1.226081627
861,0.584666667,0.584666667,0.584666667,0.876129235,0.448545123,0.473849567
1000,1.306666667,1.306666667,1.306666667,2.143329837,0.761419431,0.997542932
12.8,3.033333385,3.033333247,3.033333299,7.633192976,0.276436627,1.266615022
416,2.773333333,2.773333333,2.773333333,5.033599069,1.240899791,2.026273502
4940,0.588,0.588,0.588,0.796915543,0.470021948,0.488902618
59.5,3.34666668,3.346666615,3.346666628,6.136374194,1.18023995,2.711677504
104,0.92,0.92,0.92,1.45777756,0.567212677,0.729525367
3930,0.793333333,0.793333333,0.793333333,1.20671961,0.569964534,0.629126872
2010,1.62,1.62,1.62,2.69625453,0.918068549,1.233184829
53.9,1.566666667,1.566666667,1.566666667,2.834720356,0.681194236,1.160840492
0.0135,6.84E-05,-0.000162485,-0.000108122,-0.0284981,-0.030503896,-0.020105517
716,1.66,1.66,1.66,2.820446541,0.921369484,1.241013676
145,2.6,2.6,2.6,4.52839801,1.2136795,2.018853988
923,0.53,0.53,0.53,0.761597074,0.415033814,0.416141528
3040,1.126666667,1.126666667,1.126666667,1.792158629,0.70556031,0.881074568
1310,2.033333333,2.033333333,2.033333333,3.488138288,1.089489853,1.499203347
435,2.073333333,2.073333333,2.073333333,3.607501274,1.094095097,1.512356293
58.2,2.246666667,2.246666667,2.246666667,3.859062608,1.029957269,1.796386433
172,3.066666668,3.066666663,3.066666664,5.53391078,1.27238972,2.415743839
78.8,3.25333334,3.253333309,3.253333316,5.789198047,1.266441047,2.654493397
168,0.482666667,0.482666667,0.482666667,0.678365511,0.365846598,0.389045476
299,2.906666667,2.906666666,2.906666666,5.274622661,1.255521596,2.171805631
710,1.673333333,1.673333333,1.673333333,2.836059012,0.925038044,1.24614579
229,1.893333333,1.893333333,1.893333333,3.166337457,1.055803514,1.471329531
1.7,0.156374812,0.15538022,0.155755032,0.460733635,-0.021356485,0.13774352
1040,2.213333333,2.213333333,2.213333333,3.884032011,1.145566728,1.631884039
482,0.521333333,0.521333333,0.521333333,0.737233127,0.423729406,0.43744351
1550,1.88,1.88,1.88,3.187867002,1.03209548,1.399686962
14.6,2.753333336,2.75333333,2.753333333,7.112001431,0.253975964,0.859521692
474,0.535333333,0.535333333,0.535333333,0.765765165,0.431478244,0.450502104
1.6,0.175201522,0.173516759,0.172051614,0.455372758,-0.016706525,0.185160372
2560,1.34,1.34,1.34,2.179831812,0.797173243,1.041686922
